term_str,n,n_chars
sweet,29,5
signature,29,9
2008,29,4
orchid,29,6
flacon,28,6
only,28,4
warm,28,4
not,28,3
ropion,28,6
peach,28,5
feminine,28,8
2017,28,4
so,28,2
includes,27,8
heliotrope,27,10
orris,27,5
freesia,27,7
dominique,27,9
2004,27,4
sensuality,26,10
l,26,1
she,26,3
presented,26,9
2013,26,4
you,26,3
composed,26,8
sambac,26,6
2018,26,4
currant,25,7
but,25,3
accords,25,7
accord,25,6
gucci,24,5
incense,24,7
2020,24,4
announced,24,9
design,23,6
their,23,5
september,23,9
woodsy,23,6
pure,23,4
absolute,23,8
2015,23,4
oakmoss,22,7
vanille,22,7
out,22,3
market,22,6
water,22,5
actress,22,7
dark,22,4
essence,21,7
olivier,21,7
his,21,3
caramel,21,7
i,21,1
ginger,21,6
ernest,21,6
polge,21,5
honey,21,5
arrives,21,7
my,21,2
designed,21,8
comes,20,5
seductive,20,9
light,20,5
grapefruit,20,10
opens,20,5
color,20,5
dior,20,4
2005,19,4
jacques,19,7
labdanum,19,8
spirit,19,6
lady,19,4
versace,19,7
juicy,19,5
lavender,19,8
mysterious,19,10
create,19,6
model,19,5
or,18,2
shape,18,5
2009,18,4
aldehyde,18,8
also,18,4
magnolia,18,8
citruses,18,8
angel,18,5
mugler,18,6
scandal,18,7
virginia,18,8
brand,18,5
moss,18,4
100ml,17,5
both,17,4
french,17,6
glass,17,5
aromas,17,6
fleur,17,5
chloe,17,5
can,17,3
they,17,4
name,17,4
powdery,17,7
1922,17,4
apple,17,5
almond,17,6
spicy,17,5
soft,17,4
root,17,4
gold,16,4
award,16,5
no,16,2
suede,16,5
lilac,16,5
way,16,3
me,16,2
two,16,3
fragrant,16,8
perfumes,16,8
plum,16,4
rodriguez,16,9
cinnamon,16,8
natural,16,7
edt,15,3
nagel,15,5
garden,15,6
presents,15,8
dolce,15,5
jean,15,4
men,15,3
bulgarian,15,9
blue,15,4
yet,15,3
nuit,15,4
skin,15,4
toilette,15,8
bright,15,6
1921,15,4
femininity,15,10
beaux,15,5
le,15,2
burberry,15,8
perfumers,14,9
time,14,4
when,14,4
line,14,4
christine,14,9
1920,14,4
italian,14,7
luxurious,14,9
5,14,1
fantasy,14,7
tea,14,3
three,14,5
litchi,14,6
surrounded,14,10
year,14,4
woods,14,5
decorated,14,9
into,14,4
years,14,5
million,14,7
guerlain,14,8
sexy,14,4
anne,14,4
flipo,14,5
fruit,13,5
based,13,5
addictive,13,9
same,13,4
carnation,13,9
described,13,9
features,13,8
through,13,7
we,13,2
bottles,13,7
tresor,13,6
poison,13,6
lotus,13,5
bold,13,4
called,13,6
between,13,7
coconut,13,7
classic,13,7
pour,13,4
roses,13,5
benaim,13,6
quentin,13,7
carlos,13,6
prada,13,5
wild,13,4
grasse,13,6
2019,13,4
berries,13,7
creation,13,8
blend,13,5
creative,13,8
francis,12,7
marie,12,5
african,12,7
madagascar,12,10
character,12,9
signed,12,6
unique,12,6
rich,12,4
ambergris,12,9
75,12,2
oak,12,3
femme,12,5
armani,12,6
nature,12,6
lotion,12,6
tom,12,3
delicate,12,8
ford,12,4
womens,12,6
musky,12,5
bouquet,12,7
licorice,12,8
around,12,6
freedom,12,7
form,12,4
leaf,12,4
accompanied,12,11
bisch,12,5
cardamom,12,8
your,12,4
irresistible,12,12
sparkling,12,9
beauty,12,6
aura,12,4
golden,12,6
1923,11,4
jasmin,11,6
named,11,5
constant,11,8
were,11,4
simple,11,6
cashmere,11,8
concentration,11,13
have,11,4
sonia,11,5
just,11,4
well,11,4
1924,11,4
night,11,5
crystal,11,7
director,11,8
iconic,11,6
luminous,11,8
each,11,4
fruits,11,6
coco,11,4
geranium,11,8
world,11,5
indian,11,6
wanted,11,6
us,11,2
spices,11,6
secret,11,6
kurkdjian,10,9
exotic,10,6
damask,10,6
